	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12	Y13	Y14	Y15	SRR1646026	SRR1646027	SRR1646028	SRR1646029	SRR1646037	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44	HC02	HC07	HC09	HC11	HC12	HC53	HC61	HC64	HC67	HC70	HC72	HC74	SRS012849_HMP	SRS012969_HMP	SRS013951_HMP	SRS014287_HMP	SRS014459_HMP	SRS016095_HMP	SRS016438_HMP	SRS017247_HMP	SRS017916_HMP	SRS022071_HMP	SRS023346_HMP	SRS043667_HMP	SRS045528_HMP	SRS045645_HMP	SRS045739_HMP	SRS047014_HMP	SRS047044_HMP	SRS049959_HMP	SRS053649_HMP	SRS074964_HMP	SRS075078_HMP	SRS075341_HMP	SRS075963_HMP	SRS077335_HMP	SRS077753_HMP	SRS077849_HMP	SRS078242_HMP	SRS078419_HMP	SRS078665_HMP	SRS098571_HMP	SRS098717_HMP	SRS101376_HMP	SRS104197_HMP	SRS104400_HMP	SRS140492_HMP	SRS140513_HMP	SRS142712_HMP	SRS142890_HMP	SRS143991_HMP	SRS145497_HMP	SRS146813_HMP	SRS147445_HMP	SRS147919_HMP	SRS148424_HMP
Candidatus_Korarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0179565451607111	0	0	0	0	0.000998402555910543	0	0	0	0.0288933834151979	0	0	0	0	0	0	0	0.0112803158488438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00742059958444642	0	0	0	0	0
Acidilobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599089384136113	0	0.00923555954297174	0	0	0.00108108108108108	0	0	0	0	0.00235971494643447	0	0	0	0	0	0.0129946072379962	0	0	0.000227721960594992	0	0	0	0	0.0041649312786339	0	0	0	0	0	0.0200601805416249	0.0179565451607111	0.003573087504913	0	0	0	0	0	0.0252652854977261	0.0585480093676815	0	0	0	2.59301014656144	0	0.0345841258862182	0	0	0.0112803158488438	0	0	0	0	0.00737952918603793	0	0	0	0	0	0	0	0.00719476221310886	0	0	0	0	0	0	0	0	0.581170089112747	0.000327534874275738	0	0.000528538432672132	0	0	0	0	0.0113526707157859	0
Caldisphaera	0	0	0	0	0	0	0.0434027777777778	0.0270426191678085	0	0.0115517905275318	0	0	0	0	0.016214025131739	0	0	0	0	0	0	0.0646665959927913	0.00263873129799193	0	0.000669021622778848	0.00432432432432432	0.00114937244264632	0.00551245124925926	0.0449842555105713	0.0214776632302405	0.00235971494643447	0.00157093148382333	0.491159135559921	0.0261882938326568	0.000882610585590058	0.00195386914938307	0	0.00998322817666321	0.00080863623498969	0.0027326635271399	0.0892757504742774	0.00527328815883144	0.0357589844448418	0	0	0	0.229357798165138	0.0230043708304578	0.234741784037559	0	0.280842527582748	0	0.003573087504913	0.0208891828847962	0.127226463104326	0.00669075337883046	0	0	0.859019706922688	0	0	0	0.00557351465834355	0	9.83907536305368e-05	0.605222203008819	0	0	0	0	0	0.177788313381534	0.574345883854499	0.0147590583720759	0.00387920166029831	0	0.0338360402165507	0	0	0	0	0	0	0.0193698347107438	0	0.0696032614099632	0	0	0	0	0	0.000982604622827216	0	0.00211415373068853	0.0148411991688928	0.00379218809252939	0	0	0	0.0414851690520639
Desulfurococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00599089384136113	0.0498250821583802	0.00263873129799193	0	0.0214086919289231	0	0	0.00689056406157408	0	0.0644329896907216	0	0	0.196463654223969	0.0130941469163284	0	0.000976934574691533	0	0.00199664563533264	0.00080863623498969	0.000227721960594992	0.00557973440464234	0.00790993223824716	0.0715179688896835	0	0	0.0134048257372654	0	0	0	0	0	0	0	0.00348153048079936	0	0	0.00199680511182109	0	0	0	0	0	0	0	0	0	0	0.00849112677252271	0.00564015792442188	0.0382116927779901	0.00675698503327815	0	0	0	0.00387920166029831	0	0	0	0	0	0	0	0.00974326496809081	0.00645661157024793	0.00457990794385033	0.00497166152928309	0	0	0.0285795941697628	0	0	0	0	0.000528538432672132	0	0.00758437618505878	0	0	0.0170290060736788	0
Ignicoccus	0	0	0	0	0	0	0	0.00540852383356169	0	0.00385059684251059	0.0122354092744402	0	0	0	0	0	0	0	0	0	0.00299544692068057	0.00106010813102937	0.0395809694698789	0	0.0127114108327981	0.00216216216216216	0.00459748977058526	0.00275622562462963	0.0449842555105713	0	0.0259568644107792	0.00130910956985278	0.0327439423706614	0.0196412203744926	0.000441305292795029	0.00195386914938307	0	0	0	0.000455443921189984	0.0111594688092847	0.00790993223824716	0	0.0634920634920635	0.00832986255726781	0.0134048257372654	0	0	0.234741784037559	0.0206739714699194	0	0	0.003573087504913	0.0104445914423981	0.0636132315521628	0.0133815067576609	0	0	0	0.0585480093676815	0	0	0	0	3.27969178768456e-05	0	0	0	0.00564015792442188	0	0	0.0118525542254356	0.127632418634333	0	0.00193960083014916	0	0	0	0	0	0	0	0.0048716324840454	0.00860881542699725	0	0.0248583076464154	0.000827800864224102	0	0.0071448985424407	0.0018610017772567	0	0	0	0	0	0	0	0.0152473888846535	0	0
Staphylothermus	0.008058017727639	0	0	0	0	0	0	0.00721136511141559	0	0.100115517905275	0.0244708185488805	0	0	0	0	0	0	0	0	0	0.00299544692068057	0.00636064878617619	0.0105549251919677	1.49667405764967	0.00334510811389424	0	0.0103443519838168	0.00689056406157408	0.134952766531714	0	0.00235971494643447	0.00157093148382333	0.22920759659463	0.098206101872463	0.000441305292795029	0.0087924111722238	0.0844649470469755	0.00598993690599792	0.00646908987991752	0.000910887842379968	0.122754156902131	0.00527328815883144	0.0893974611121044	0.634920634920635	0.0249895876718034	0.0536193029490617	0.114678899082569	0.0230043708304578	0	0.144717800289436	0	0.179565451607111	0.00714617500982599	0.0557044876927898	0	0.00669075337883046	0.0119808306709265	0.0414696856597827	0	0.292740046838407	0	0.253164556962025	0.00557351465834355	0	0	0.0345841258862182	0	0	0.0282007896221094	0.0382116927779901	0	0	0.0638162093171666	0	0	0.0101936799184506	0	0	0	0	0.00384881841274729	0	0.0048716324840454	0.0236742424242424	0.0114497698596258	0.00497166152928309	0.000206950216056026	0	0.0142897970848814	0	0	0.000327534874275738	0.0403144527313042	0	0	0	0	0.00762369444232675	0.00567633535789294	0.0414851690520639
Thermogladius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00810701256586948	0	0	0	0	0	0.00599089384136113	0.0212021626205873	0.0474971633638547	0	0.00602119460500963	0.00108108108108108	0.00114937244264632	0.00689056406157408	0	0	0.00471942989286894	0	0.0654878847413229	0.065470734581642	0.00242717911037266	0.00195386914938307	0.0454811253329868	0.00199664563533264	0.00727772611490721	0.00227721960594992	0.0223189376185694	0.00263664407941572	0.0178794922224209	0.0634920634920635	0.0041649312786339	0.0268096514745308	0	0.0460087416609156	0.234741784037559	0.0413479429398387	0.320962888665998	0.0179565451607111	0	0.00348153048079936	0.0954198473282443	0.0133815067576609	0.0159744408945687	0	0	0	0.0288933834151979	0	0	0	9.83907536305368e-05	0	0	0.00849112677252271	0	0	0.00337849251663908	0.0118525542254356	0.0638162093171666	0	0.00969800415074578	0.0305810397553517	0.024168600154679	0.085995898657141	0.00692424871901399	0	0	0	0.0048716324840454	0	0	0.0497166152928309	0	0	0	0.000930500888628349	0	0.000327534874275738	0.00671907545521736	0.00105707686534426	0.00742059958444642	0	0	0	0	0.010371292263016
Thermosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000220652646397515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168435236651507	0	0	0	0	0	0	0.0172920629431091	0	0	0	0	0	0	0	0	0	0	0	0.0198452073824171	0.00692424871901399	0	0	0	0.00974326496809081	0	0	0.0149149845878493	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010371292263016
Hyperthermus	0	0	0	0	0	0.00835631319461853	0	0	0	0.0269541778975741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000669021622778848	0	0	0.00551245124925926	0	0.0214776632302405	0	0	0	0	0	0.000976934574691533	0.0129946072379962	0	0.00161727246997938	0	0.033478406427854	0.00263664407941572	0	0.0634920634920635	0	0	0	0.0230043708304578	0	0	0	0	0.00714617500982599	0	0	0	0	0.00829393713195654	0	0.0585480093676815	0	0.0361663652802893	0	0	0	0.0172920629431091	0	0	0.0169204737732657	0	0	0	0.0638162093171666	0.00737952918603793	0	0.0101936799184506	0	0	0	0	0.00384881841274729	0	0	0	0	0.0447449537635478	0.000206950216056026	0.00716409356306193	0	0.00465250444314174	0.00968616815187912	0	0.00671907545521736	0	0	0	0.00618639611494324	0	0	0
Pyrodictium	0	0	0	0.00165046460578653	0	0	0	0	0	0	0.0122354092744402	0	0	0	0	0	0	0	0	0	0.0089863407620417	0.00530054065514683	0	0	0.00401412973667309	0.00540540540540541	0.00114937244264632	0.00964678968620371	0.179937022042285	0.601374570446735	0.153381471518241	0.000654554784926389	0	0.0196412203744926	0	0.00488467287345766	0.0389838217139887	0.00399329127066528	0.00161727246997938	0.000910887842379968	0.00557973440464234	0.00263664407941572	0.125156445556946	0	0.0291545189504373	0.0536193029490617	0.573394495412844	0.0460087416609156	0.117370892018779	0	0.0401203610832497	0.0897827258035554	0.032157787544217	0.048741426731191	0.286259541984733	0.00669075337883046	0	0	0	0	1.12684195319272	0	0	0	0	0	0	0	0	0.0382116927779901	0	0	0.510529674537332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228636753358102	0	0.00968616815187912	0.000982604622827216	0	0	0	0	0	0	0	0
