Phylum	Genus
Acidobacteria	Acidobacterium
Acidobacteria	Candidatus_Koribacter
Acidobacteria	Granulicella
Acidobacteria	Terriglobus
Acidobacteria	Chloracidobacterium
Acidobacteria	Candidatus_Solibacter
Actinobacteria	Acidimicrobium
Actinobacteria	Ilumatobacter
Actinobacteria	Thermobispora
Actinobacteria	Acidothermus
Actinobacteria	Actinomyces
Actinobacteria	Actinotignum
Actinobacteria	Arcanobacterium
Actinobacteria	Mobiluncus
Actinobacteria	Trueperella
Actinobacteria	Bifidobacterium
Actinobacteria	Gardnerella
Actinobacteria	Parascardovia
Actinobacteria	Scardovia
Actinobacteria	Catenulispora
Actinobacteria	Corynebacterium
Actinobacteria	Dietzia
Actinobacteria	Gordonia
Actinobacteria	Hoyosella
Actinobacteria	Mycobacterium
Actinobacteria	Nocardia
Actinobacteria	Rhodococcus
Actinobacteria	Segniliparus
Actinobacteria	Tsukamurella
Actinobacteria	Lawsonella
Actinobacteria	Frankia
Actinobacteria	Blastococcus
Actinobacteria	Geodermatophilus
Actinobacteria	Modestobacter
Actinobacteria	Stackebrandtia
Actinobacteria	Kineococcus
Actinobacteria	Beutenbergia
Actinobacteria	Brevibacterium
Actinobacteria	Cellulomonas
Actinobacteria	Brachybacterium
Actinobacteria	Dermabacter
Actinobacteria	Devriesea
Actinobacteria	Dermacoccus
Actinobacteria	Kytococcus
Actinobacteria	Luteipulveratus
Actinobacteria	Arsenicicoccus
Actinobacteria	Intrasporangium
Actinobacteria	Janibacter
Actinobacteria	Serinicoccus
Actinobacteria	Jonesia
Actinobacteria	Agromyces
Actinobacteria	Clavibacter
Actinobacteria	Cryobacterium
Actinobacteria	Curtobacterium
Actinobacteria	Frondihabitans
Actinobacteria	Leifsonia
Actinobacteria	Microbacterium
Actinobacteria	Microterricola
Actinobacteria	Rathayibacter
Actinobacteria	Rhodoluna
Actinobacteria	Arthrobacter
Actinobacteria	Glutamicibacter
Actinobacteria	Kocuria
Actinobacteria	Micrococcus
Actinobacteria	Neomicrococcus
Actinobacteria	Paenarthrobacter
Actinobacteria	Pseudarthrobacter
Actinobacteria	Renibacterium
Actinobacteria	Rothia
Actinobacteria	Sinomonas
Actinobacteria	Isoptericola
Actinobacteria	Xylanimonas
Actinobacteria	Sanguibacter
Actinobacteria	Tropheryma
Actinobacteria	Actinoplanes
Actinobacteria	Micromonospora
Actinobacteria	Salinispora
Actinobacteria	Verrucosispora
Actinobacteria	Nakamurella
Actinobacteria	Aeromicrobium
Actinobacteria	Kribbella
Actinobacteria	Nocardioides
Actinobacteria	Pimelobacter
