	Genera	Group	LDAScore
1	Eubacterium	Matses	4.49796856335
2	Flavonifractor	Tunapuco	4.03555081726
3	Intestinimonas	Tunapuco	4.24355726745
4	Akkermansia	Yano_BR	4.07124890964
5	Klebsiella	Matses	4.45593238755
6	Escherichia	Yano_BR	4.81940611786
7	Megasphaera	Tunapuco	4.00286560065
8	Anaerostipes	Yano_VE	4.12783452562
9	Bacteroides	US	5.54615339031
10	Streptococcus	Yano_VE	4.40334120741
11	Odoribacter	Yano_VE	4.0180446158
12	Alistipes	US	4.49471562935
13	Roseburia	Yano_BR	4.46428354152
14	Prevotella	Tunapuco	4.7849013992
15	Treponema	Matses	4.94519331768
16	Desulfovibrio	Yano_VE	4.09996467424
17	Bifidobacterium	Tunapuco	4.4077659163
18	Lachnoclostridium	Matses	4.02515440473
19	Neisseria	Yano_VE	4.10749180329
20	Parabacteroides	US	4.33970737819
21	Enterococcus	Yano_BR	4.28024100832
22	Cutibacterium	Yano_BR	4.11987931702
23	Ralstonia	Yano_BR	4.82345379989
