Level1	Level2
Cell_Division_and_Cell_Cycle	_Bacterial_checkpoint_control
Clustering-based_subsystems	_Tartronate-semialdehyde_related_area_(links_to_pyridoxine_and_aldorate_metabolism)
-	-
Clustering-based_subsystems	A_bicyclomycin_resistance_protein_a_helicase_and_a_pseudouridine_synthase
Membrane_Transport	ABC_transporters
Carbohydrates	Aceton_metabolism
Stress_Response	Acid_stress
Virulence_Disease_and_Defense	Adhesion
Amino_Acids_and_Derivatives	Alanine_serine_and_glycine
Clustering-based_subsystems	alpha-proteobacterial_cluster_of_hypotheticals
Carbohydrates	Aminosugars
Metabolism_of_Aromatic_Compounds	Anaerobic_degradation_of_aromatic_compounds
Arabinose_Sensor_and_transport_module	Arabinose
Amino_Acids_and_Derivatives	Arginine;_urea_cycle_polyamines
Amino_Acids_and_Derivatives	Aromatic_amino_acids_and_derivatives
Respiration	ATP_synthases
Secondary_Metabolism	Bacterial_cytostatics_differentiation_factors_and_antibiotics
Virulence_Disease_and_Defense	Bacteriocins_ribosomally_synthesized_antibacterial_peptides
Phages_Prophages_Transposable_elements	Bacteriophage_integration/excision/lysogeny
Phages_Prophages_Transposable_elements	Bacteriophage_structural_proteins
Secondary_Metabolism	Biologically_active_compounds_in_metazoan_cell_defence_and_differentiation
Clustering-based_subsystems	Biosynthesis_of_galactoglycans_and_related_lipopolysacharides
Secondary_Metabolism	Biosynthesis_of_phenylpropanoids
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Biotin
Amino_Acids_and_Derivatives	Branched-chain_amino_acids
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides
Clustering-based_subsystems	Carotenoid_biosynthesis
Clustering-based_subsystems	Catabolism_of_an_unknown_compound
Clustering-based_subsystems	Cell_Division
Cell_Wall_and_Capsule	Cell_wall_of_Mycobacteria
Carbohydrates	Central_carbohydrate_metabolism
Clustering-based_subsystems	Chemotaxis_response_regulators
Clustering-based_subsystems	Choline_bitartrate_degradation_putative
Clustering-based_subsystems	Chromosome_Replication
Clustering-based_subsystems	clustering_of_2_heat_shock_proteins_phosphoenolpyruvate_carboxykinase_and_a_putative_hydrolase
Carbohydrates	CO2_fixation
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_A
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_B
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_F420
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Coenzyme_M
Stress_Response	Cold_shock
Clustering-based_subsystems	contains_Thr-tRNA-syn_pyridoxine_biosyn_lipid_A_biosyn_3_hypos
Clustering-based_subsystems	CRISPRs_and_associated_hypotheticals
DNA_Metabolism	CRISPs
Clustering-based_subsystems	Cytochrome_biogenesis
Clustering-based_subsystems	D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.1.-.-)_cluster
Clustering-based_subsystems	Degradation_of_Polyphenols_(?)
Stress_Response	Dessication_stress
Virulence_Disease_and_Defense	Detection
Stress_Response	Detoxification
Carbohydrates	Di-_and_oligosaccharides
Clustering-based_subsystems	DNA_metabolism
Clustering-based_subsystems	DNA_polymerase_III_epsilon_cluster
DNA_Metabolism	DNA_recombination
DNA_Metabolism	DNA_repair
DNA_Metabolism	DNA_replication
DNA_Metabolism	DNA_uptake_competence
Respiration	Electron_accepting_reactions
Respiration	Electron_donating_reactions
Photosynthesis	Electron_transport_and_photophosphorylation
Clustering-based_subsystems	Fage-related_replication
