	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12	Y13	Y14	Y15	SRR1646026	SRR1646027	SRR1646028	SRR1646029	SRR1646034	SRR1646035	SRR1646036	SRR1646037	SM01	SM02	SM03	SM05	SM11	SM18	SM20	SM23	SM24	SM25	SM28	SM29	SM30	SM31	SM32	SM33	SM34	SM37	SM39	SM40	SM41	SM42	SM43	SM44	HC02	HC07	HC09	HC11	HC12	HC53	HC61	HC64	HC67	HC70	HC72	HC74	SRS012969_HMP	SRS013951_HMP	SRS014287_HMP	SRS014459_HMP	SRS016095_HMP	SRS016438_HMP	SRS017247_HMP	SRS017916_HMP	SRS022071_HMP	SRS023346_HMP	SRS043667_HMP	SRS045528_HMP	SRS045645_HMP	SRS045739_HMP	SRS047014_HMP	SRS047044_HMP	SRS049959_HMP	SRS053649_HMP	SRS074964_HMP	SRS075078_HMP	SRS075341_HMP	SRS075963_HMP	SRS077335_HMP	SRS077753_HMP	SRS077849_HMP	SRS078242_HMP	SRS078419_HMP	SRS078665_HMP	SRS098571_HMP	SRS098717_HMP	SRS101376_HMP	SRS104197_HMP	SRS104400_HMP	SRS140492_HMP	SRS140513_HMP	SRS142712_HMP	SRS142890_HMP	SRS143991_HMP	SRS145497_HMP	SRS146813_HMP	SRS147445_HMP	SRS147919_HMP	SRS148424_HMP
&#945;-Fimbriae	0.0	0.0301678084344	0.0568595433468	0.0165304635043	0.0226421656416	0.00527013175329	0.0525939982814	0.0	0.019731849804	0.0251325910433	7.94276321042e-05	0.0	0.0	0.0136119240455	0.0	0.0	0.0	0.00223573600429	0.0	0.0	0.0	0.0	0.0	0.00076395078305	0.000195717608007	0.00190955589903	0.000975262784557	0.0	0.0	0.0	0.0	1.00975088575e-05	9.99665611853e-05	8.83519194807e-05	0.000125712475455	2.98166751545e-05	0.0	0.000342591099821	0.0	4.20379846822e-05	0.000767821590782	0.000373304834849	0.0	0.0	0.0	0.00221380332729	0.0	0.0	0.0	9.76521970524e-05	0.0367373595683	0.0	0.00049605020028	0.000162436372319	0.00193928114472	0.000357842140325	0.0017338898849	0.00361452385803	0.0	0.0	0.0	0.0	1.31022e-07	0.0	2.57678e-06	0.0	0.0	0.0	0.0	0.0	2.63922e-06	0.0	0.0	0.0	2.59223e-06	0.0	2.34911e-06	0.0	0.0	0.0	0.0	0.000122688	1.62775e-06	0.0	0.000106068	1.25631e-06	0.0	0.0	1.21166e-07	0.0	0.0	0.0	5.78535e-06	0.0	2.97287e-06	2.77979e-05	0.0	0.0	8.16901e-05	0.0	3.06567e-05	0.0
&#946;-Fimbriae	0.00111469271514	0.0025139840362	0.0039497590647	0.00341154031045	0.00306405404991	0.00325008125203	8.57470594653e-05	0.0	0.0	0.00087863425092	0.00241082632367	0.00427190687243	0.00427923430234	0.0	0.00172284950694	0.0	0.0	0.00223573600429	0.0	0.0	0.0	0.0	0.0	5.26136902927e-05	9.72107324537e-05	5.75482599708e-05	3.25087594852e-05	5.09840950017e-05	0.0	0.0	3.69329544997e-05	0.000191504478332	2.49916402963e-05	0.0	0.00100569980364	0.0	0.0	0.000217863974449	7.78030897163e-05	4.20379846822e-05	0.0	0.00017792681455	0.000207418961412	3.69007502661e-05	0.0	3.29435018942e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00016535006676	0.0	0.00016440919146	0.0	0.00176855926088	0.0	0.000547713569703	0.0	0.0	0.0	5.62715e-05	0.0	0.0	1.45227e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88738e-06	0.0	0.0	0.0	0.0	0.0	0.000225474	0.0	0.0	0.0	1.69319e-05	0.0	3.739e-05	0.0	2.98075e-05	3.0481e-06	0.0	1.01378e-05	1.0453e-05	0.0	8.17598e-06	0.0	0.000840357	4.63168e-06	0.0	0.0	0.0	6.90837e-05	0.0
&#954;-Fimbriae	0.0	0.0559361448055	0.000275564585909	0.00116302510584	0.00153202702496	0.000500012500313	0.0	0.0	0.0	0.00716780573119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00066283851928	0.0	0.0	5.41454574398e-05	0.000369920680786	5.96403567209e-05	0.0	0.00238105946564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95259e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55115e-06	0.0	2.47769e-06	2.3247e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.06765e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18729e-06	0.0
&#963;-Fimbriae	0.00161011169964	0.0012569920181	0.00110225834364	0.00131809511995	0.00459608107487	0.000750018750469	8.57470594653e-05	0.00795766522102	0.0	0.00707531791531	0.00135484454554	0.00106797671811	0.0	0.0	0.00177668855403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000552443748073	9.72107324537e-05	5.75482599708e-05	0.000227561316397	0.0	0.0	0.0	0.0	0.000119690298958	2.49916402963e-05	0.0	4.19041584849e-05	0.0	8.38249316303e-05	0.000217863974449	0.0	0.0	4.51659759283e-05	0.000652398320015	0.0	0.00018450375133	5.75507439297e-05	6.58870037885e-05	0.0	0.0	0.0	0.0	0.0	7.24152289226e-05	0.00074407530042	0.0	0.0	0.0	0.0	0.0	0.0	3.07083e-05	0.0	0.0	0.0	2.20878e-05	3.30575e-06	0.0	0.000486972	0.0	0.0	0.0	4.34762e-06	0.0	0.0	0.0	0.0	0.0	4.71752e-06	0.0	0.0	0.0	0.0	0.0	5.68793e-06	1.41232e-05	0.000344176	0.000415754	0.0	1.37671e-05	0.0	5.49262e-06	0.0	1.30584e-05	8.22998e-06	0.0	0.0	0.0	9.18968e-06	0.0	0.0	0.0	8.36125e-06	0.0
(GlcNAc)2_Catabolic_Operon	0.000544960882956	0.00167598935747	0.00119411320561	0.000775350070557	0.0	0.00150003750094	0.000900344124386	0.00132627753684	0.0	0.0017110245939	0.00135484454554	0.00640786030865	0.00285282286823	0.0	0.000605689279784	0.0	0.0	0.00447147200859	0.0797448165869	0.0	0.0	0.0	0.0	0.00242022975346	0.00375881498821	0.0013811582393	6.50175189705e-05	0.00219231608507	0.00314869171859	0.00571262795594	0.00136651931649	0.000119690298958	0.000849715770075	0.00342676992667	0.00155045386394	0.00110321698072	0.00322725986777	0.00261436769339	0.00879174913794	0.00130317752515	0.00632323662997	0.00167547750367	0.00110623446086	0.00107012175772	0.00100713801877	0.000658870037885	0.000632823277771	0.00410480885123	0.00817971635787	0.00102534806905	0.00275332923393	0.00716910766334	0.0153775562087	0.0116683460783	0.00273330280803	0.0137023719566	0.00484143097667	0.00603201731295	0.00594020262415	0.00106448	0.00183672	0.0023956	0.000978122	0.000784382	0.000484678	5.48875e-05	0.00152732	0.00479495	0.000507987	0.000218042	0.00117195	0.000360477	0.000244675	0.0012206	0.000182565	0.000999711	0.000815929	0.000316053	0.00101944	0.000994492	0.00118053	0.000346141	0.00141652	0.000438606	0.000823207	0.00143845	0.00026149	0.0023829	0.00849536	0.000901836	0.00160698	0.00227569	0.00184829	0.00055975	0.000277303	0.000959339	0.00278595	0.000675966	0.00312176	0.00189577	0.001043	0.00110908
2-Ketogluconate_Utilization	0.00232434073564	0.000314248004525	0.000872621188712	0.00360131029642	0.0035747297249	0.0020875521888	0.00201363953976	0.00265255507367	0.0	0.00101736597475	0.0034644799645	0.00106797671811	0.0	0.0	0.00222855198498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00145007468175	0.000688576021547	0.00215805974891	0.00060172165771	0.000509840950017	0.000479430426287	0.000831315262245	0.000129265340749	0.00524825337277	0.00112390976647	0.0	0.000649514456516	0.000104358363041	0.00240018720901	0.0178152688825	0.000898725433774	0.00160464992958	0.00373070961168	0.0399900894764	0.00649528636569	0.00294590989624	0.00210635722783	0.00317214643553	0.0032050992297	0.000360862316592	0.000313872836988	0.000382471105122	0.000178456524422	0.000318109755624	0.000717769607981	0.000166948493773	0.000291141276544	0.000149100891802	0.000375818842938	0.000238105946564	0.000489622736553	5.39644e-05	4.46398e-05	7.57367e-05	3.38922e-05	6.45592e-06	2.73034e-06	0.0	6.85105e-05	1.67122e-05	0.0	0.0	3.08456e-05	6.49209e-06	2.01452e-06	0.0	3.67521e-06	5.99675e-06	0.0	1.93457e-06	1.84327e-05	3.24824e-05	0.0	1.6281e-05	3.20859e-05	9.5347e-06	9.28959e-05	7.52164e-06	5.37422e-06	3.17233e-05	3.35371e-06	0.000344753	2.65224e-05	5.89006e-05	3.46379e-05	1.28897e-05	0.0	1.12634e-05	2.18531e-05	3.61569e-06	1.50821e-05	0.0	4.06008e-05	1.79711e-05
2-O-alpha-mannosyl-D-glycerate_utilization	0.0012101198481	0.0160963450826	0.0108236641156	0.00599763917887	0.0198801784641	0.0070951131073	0.0402302231678	0.00354159825771	0.00621171009744	0.00665975785762	0.00934817801406	0.0170876274897	0.00427923430234	0.0	0.00135834633931	0.0255950857435	0.0	0.0651803035098	0.026581605529	0.0	0.0149380072698	0.0	0.0376002474953	0.0193166267816	0.037955334243	0.0304701900465	0.041570800648	0.0399219258261	0.0464586902414	0.0627977766565	0.00530566513358	0.017468309812	0.0152416134408	0.012701371687	0.0681375478309	0.0093234187493	0.0207677642865	0.0491686311806	0.0582634078907	0.0206681907261	0.0301366300166	0.0348409877312	0.0209028149441	0.021085088702	0.00735320872441	0.0156969143158	0.0427053940267	0.014262295467	0.0185536891852	0.0228407401685	0.038197956637	0.0217374999677	0.028507335736	0.0300084503011	0.0121847762021	0.0144335343299	0.016116979973	0.010425458282	0.0158395827898	0.0170968	0.0495046	0.0483396	0.0445152	0.0662651	0.0349825	0.073167	0.0193842	0.0171587	0.127814	0.00644064	0.0556474	0.0564098	0.0343734	0.017095	0.00846256	0.0164954	0.0634648	0.0410236	0.0563146	0.0545008	0.0284178	0.0102554	0.0341341	0.0186183	0.0172872	0.0105641	0.0129613	0.0212617	0.0498598	0.0654488	0.0356063	0.0205616	0.0382158	0.0381003	0.0330753	0.0242567	0.0137499	0.0613824	0.0173014	0.0196196	0.114821	0.0397001
2-methylcitrate_to_2-methylaconitate_metabolism_cluster	0.00177112286961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.98483689863e-05	0.00854381374486	0.0	0.0	0.00162863117453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78030897163e-05	0.0	0.0	0.0	6.91396538039e-05	0.0	0.0	0.0	0.0	0.0	5.70677885433e-05	0.0	0.0	0.0	0.00024802510014	0.000162436372319	0.0	0.0	0.0	5.29124325697e-05	9.95842854006e-05	7.17264e-06	0.0	1.34577e-05	4.33485e-05	6.45592e-06	0.0	0.0	0.0	0.0	0.000166346	2.2868e-06	1.20768e-06	6.85079e-05	0.000130651	2.3146e-05	0.0	0.0	4.71752e-06	0.0	2.65736e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17808e-06	0.0	0.000308	9.12844e-06	1.56795e-05	4.11499e-06	0.0	0.0	0.000484432	4.558e-06	2.21286e-06	2.70024e-05	0.0	2.08698e-06	0.0
2-phosphoglycolate_salvage	0.0122007204713	0.0553219042847	0.03147669931	0.0231234798796	0.0582870804362	0.103588774563	0.0537222820347	0.0370063967724	0.0848030280841	0.0347863462473	0.0218177343522	0.0541277723955	0.0217188121932	0.0408357721364	0.012913232344	0.0136507123966	0.00479064865383	0.0161212535452	0.0294008667214	0.0	0.0236518448439	0.0	0.0220411336282	0.0598387916515	0.0381940185164	0.0405346916584	0.0537741383496	0.0439462555509	0.0406047967833	0.0150083522357	0.0319347675226	0.0459388505269	0.0721519640506	0.0167865921564	0.0556901342511	0.0489840566605	0.053371033865	0.0315713711217	0.0224819016541	0.052480323562	0.049517737306	0.0701422143299	0.0213555252731	0.0609844977776	0.0272903732975	0.069332140394	0.0474800328643	0.0568023132293	0.0496424161183	0.0585784689636	0.0682727947549	0.0449424577302	0.0381700424118	0.0435695951659	0.0535903614601	0.0379986655253	0.05170853433	0.0501673834784	0.0531793423271	0.0522064	0.0437319	0.0415984	0.0466468	0.0382679	0.0500977	0.0342237	0.0395816	0.0430509	0.0274781	0.0525602	0.0416666	0.0351868	0.0394088	0.0518032	0.0581805	0.0303652	0.0365501	0.0356799	0.0309156	0.0347893	0.0519711	0.042977	0.0541608	0.0412664	0.0511239	0.0449817	0.0579105	0.0381335	0.026762	0.043002	0.0524881	0.0357229	0.0356309	0.0382251	0.024728	0.0451112	0.0490624	0.0392773	0.0501214	0.0411564	0.0326174	0.0410316
4-Hydroxyphenylacetic_acid_catabolic_pathway	0.00501421412034	0.0103898371198	0.0267816843002	0.00878199026702	0.0157707591486	0.00170591070332	0.0445601361297	0.0131964614915	0.014082772123	0.00916426394121	0.0113839769024	0.00589814414773	0.00178301429264	0.0	0.00612128633446	0.0	0.0	0.00163953973648	0.0653907496013	0.0	0.0	0.0	0.0023797624997	0.00138428727961	0.000376784169908	0.0022957531115	0.00245974052675	0.000205596225317	0.000196677539741	0.000267881915127	9.26168837979e-05	0.00386108229862	0.000568809521009	7.83261697524e-06	0.00182823601179	0.000426960589795	0.00131597658291	0.0115697556434	0.000529357402794	0.00123980799298	0.00262372344404	0.0349752172605	0.00409371012618	0.00191368248799	0.00163096663549	0.00215363632463	0.0021043500481	0.000168402414409	0.000953032068673	0.00018215890604	0.0364876230731	0.00164141185558	0.00267161745763	0.00216272427145	0.002061754671	0.00138114510301	0.0014572033972	0.0035303616388	0.000188795207739	1.16047e-05	3.72141e-05	2.17302e-05	6.53043e-06	5.46815e-06	1.49264e-05	1.71598e-06	9.1761e-05	2.75886e-05	0.000124633	3.45059e-06	0.0002695	3.33337e-07	6.38025e-06	1.03639e-05	3.69277e-05	1.67535e-05	1.96402e-06	5.72963e-05	1.54128e-05	0.000103639	0.0	3.98286e-05	0.000374876	1.83654e-05	0.000193321	9.38835e-06	3.86195e-06	0.0001208	6.08102e-05	4.46929e-05	0.00010091	0.000110991	0.00107745	4.53495e-05	0.000233631	0.000112969	3.59561e-05	2.59189e-06	4.45318e-05	3.73339e-05	8.24365e-05	2.30081e-05
