Level_1	Level_2	Level_3
Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon
Virulence	Fimbriae_of_the_Chaperone/Usher_Assembly_Pathway	&#945;-Fimbriae
Virulence	Fimbriae_of_the_Chaperone/Usher_Assembly_Pathway	&#946;-Fimbriae
Virulence	Fimbriae_of_the_Chaperone/Usher_Assembly_Pathway	&#954;-Fimbriae
Virulence	Fimbriae_of_the_Chaperone/Usher_Assembly_Pathway	&#963;-Fimbriae
Carbohydrates	Monosaccharides	2-Ketogluconate_Utilization
Carbohydrates	Organic_acids	2-methylcitrate_to_2-methylaconitate_metabolism_cluster
Carbohydrates	Di-_and_oligosaccharides	2-O-alpha-mannosyl-D-glycerate_utilization
DNA_Metabolism	DNA_repair	2-phosphoglycolate_salvage
Metabolism_of_Aromatic_Compounds	Metabolism_of_central_aromatic_intermediates	4-Hydroxyphenylacetic_acid_catabolic_pathway
Cofactors_Vitamins_Prosthetic_Groups_Pigments	Folate_and_pterines	5-FCL-like_protein
Regulation_and_Cell_signaling	Regulation_of_virulence	A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence
Clustering-based_subsystems	-	A_DNA_integrity_scanning_protein_that_co-occurs_with_RadA
Clustering-based_subsystems	Ribosome-related_cluster	A_Gammaproteobacteria_Cluster_Relating_to_Translation
Clustering-based_subsystems	Lysine_Biosynthesis	A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis
Clustering-based_subsystems	Ribosomal_Protein_L28P_relates_to_a_set_of_uncharacterized_proteins	A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins
Amino_Acids_and_Derivatives	Proline_and_4-hydroxyproline	A_Hypothetical_Protein_Related_to_Proline_Metabolism
Regulation_and_Cell_signaling	Programmed_Cell_Death_and_Toxin-antitoxin_Systems	A_toxin-antitoxin_module_cotranscribed_with_DinB
Membrane_Transport	TRAP_transporters	A_TRAP_transporter_and_a_hypothetical
Membrane_Transport	ABC_transporters	ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)
Membrane_Transport	ABC_transporters	ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)
Membrane_Transport	ABC_transporters	ABC_transporter_dipeptide_(TC_3.A.1.5.2)
Membrane_Transport	ABC_transporters	ABC_transporter_of_unknown_substrate_X
Membrane_Transport	ABC_transporters	ABC_transporter_oligopeptide_(TC_3.A.1.5.1)
Membrane_Transport	ABC_transporters	ABC_transporter_tungstate_(TC_3.A.1.6.2)
Iron_acquisition_and_metabolism	-	ABC-type_iron_transport_system
Virulence_Disease_and_Defense	Adhesion	Accessory_colonization_factor
Carbohydrates	Fermentation	Acetoin_butanediol_metabolism
Carbohydrates	Fermentation	Acetone_Butanol_Ethanol_Synthesis
Carbohydrates	-	Acetone_carboxylase
Carbohydrates	Aceton_metabolism	Acetone_carboxylase_subunits_2
Metabolism_of_Aromatic_Compounds	Anaerobic_degradation_of_aromatic_compounds	Acetophenone_carboxylase_1
Carbohydrates	Central_carbohydrate_metabolism	Acetyl-CoA_biosynthesis_in_plants
Fatty_Acids_Lipids_and_Isoprenoids	Fatty_acids	Acetyl-CoA_carboxylase_complexes_in_plants
Carbohydrates	Fermentation	Acetyl-CoA_fermentation_to_Butyrate
Iron_acquisition_and_metabolism	Siderophores	acinetobacter_siderophore_assembly
Carbohydrates	Central_carbohydrate_metabolism	acinetobacter_tca
Fatty_Acids_Lipids_and_Isoprenoids	Isoprenoids	Acyclic_terpenes_utilization
Regulation_and_Cell_signaling	Quorum_sensing_and_biofilm_formation	Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_
Fatty_Acids_Lipids_and_Isoprenoids	Fatty_acids	Acyl-CoA_thioesterase_II
Virulence	Resistance_to_antibiotics_and_toxic_compounds	Adaptation_to_d-cysteine
Motility_and_Chemotaxis	Flagellar_motility_in_Prokaryota	Additional_flagellar_genes_in_Vibrionales
Nucleosides_and_Nucleotides	-	Adenosyl_nucleosidases
Virulence_Disease_and_Defense	Adhesion	Adhesins_in_Staphylococcus
Virulence_Disease_and_Defense	Adhesion	Adhesion_of_Campylobacter
Membrane_Transport	-	Agrobacterium_opine_transport
Amino_Acids_and_Derivatives	Alanine_serine_and_glycine	Alanine_biosynthesis
Iron_acquisition_and_metabolism	Siderophores	Alcaligin_Siderophore
Cell_Wall_and_Capsule	Capsular_and_extracellular_polysacchrides	Alginate_metabolism
Secondary_Metabolism	Plant_Alkaloids	Alkaloid_biosynthesis_from_L-lysine
Secondary_Metabolism	Hydrocarbons	Alkane_biosynthesis_in_bacteria
Fatty_Acids_Lipids_and_Isoprenoids	-	Alkane_synthesis_in_bacteria_2
Sulfur_Metabolism	Organic_sulfur_assimilation	Alkanesulfonate_assimilation
Sulfur_Metabolism	Organic_sulfur_assimilation	Alkanesulfonates_Utilization
Phosphorus_Metabolism	-	Alkylphosphonate_utilization
Nitrogen_Metabolism	-	Allantoin_Utilization
Carbohydrates	CO2_fixation	alpha_carboxysome
